name,lat,lon
Yersin Garden,21.0131868,105.8608913
Le Truc Green Space,21.0323998,105.8332783
Dong Da Lake,21.0170549,105.8234303
Vườn hoa Hoàng Cầu,21.0166714,105.8217976
Năm Sấu Garden,21.0618053,105.7797312
Fresh Garden,21.0616529,105.7794861
Vườn hoa Nghĩa Tân,21.0427095,105.7932212
Chùa Hà,21.036852,105.7955541
Bao Quyen farm,21.1204714,105.8473924
Đài tưởng niệm Liệt sĩ Phường Mai Dịch,21.0358863,105.7796911
Chùa Thanh An,20.9697592,105.7936204
Dong Tri Parish Church,20.9431135,105.8619236
Đình Chung,20.9443595,105.8537133
Ao Phục Viên,20.7840351,105.8280926
Giếng đình thôn Nghiêm Xá,20.8071258,105.8513987
Sông Đình,20.8059289,105.8596102
Ao Sen làng Liễu Viên,20.8045258,105.846843
Vườn hoa Nguyễn Đình Thi,21.0430296,105.8255579
Cung Đình,20.9256793,105.8871149
Miếu Tranh Khúc,20.9271377,105.8861249
Đền mẫu Đại Lộ,20.9085957,105.8927976
Miếu Cậu Quận,20.9078694,105.8930304
Dam Temple,20.9061634,105.8925604
Chùa Tĩnh Lâu,21.0498076,105.8132928
Chùa Cót,21.0236512,105.7933317
Ao Cầu,21.0440656,105.8044835
Hồ Sen Chùa Đậu,20.8362248,105.8544453
Hồ Văn Khê,20.972734,105.762621
Đình Tiên Tân,21.1270788,105.6814105
Chùa Tiên Tân,21.1265196,105.6818423
Công viên - Bãi xe ngầm Mễ Trì Hạ,21.0135069,105.7822942
Vườn hoa 1-6,21.0158583,105.8275519
Hồ Quận uỷ,21.0323228,105.8014674
Temple of Literature,21.0273173,105.8357014
Tonkin's park,20.9971919,105.7393418
Music Garden,21.0236382,105.8578338
Hao Nam Temple,21.0272269,105.8267669
Vườn hoa Đàn Nam,21.0106394,105.8501703
Vườn hoa Vĩnh Hưng,20.9940271,105.876371
Công viên hồ Cần,20.9959151,105.8748261
Sân betong bóng rổ + đá bóng mini,20.9622213,105.8020136
Đình làng Trung Tự,21.0121817,105.8385145
Chùa Vua,21.0104286,105.8531327
Chùa Kim Sơn,21.0312531,105.8268419
Chùa Linh Ứng,21.0193966,105.8337548
"Đình, đền Trung Tả",21.0198945,105.8346603
Chùa Phúc Lâm,21.04075,105.8495855
Chùa Cống Yên,21.0455838,105.807567
Vườn hoa Công đoàn,21.0103908,105.8255809
Vườn hoa Hoàng Văn Thụ,21.0385356,105.8395787
Công viên Ba Mẫu,21.0107769,105.8410049
Vườn hoa Hàng Vôi,21.0291134,105.8568019
Ao Phú Đô,21.0101043,105.767338
Ao sen nhà Truyền Thống,20.8021355,105.8610966
Ao cá nhà Truyền thống,20.8027335,105.8615083
Presidential Palace Historical Site,21.0365141,105.8339982
Archeological site of Thang Long Imperial Citadel,21.0362899,105.8392773
Vườn hoa Kính Thiên,21.0342723,105.8376958
Lăng Phùng Hưng,21.0313032,105.8291251
Chùa Nga My,20.9910412,105.8523928
Đình Hoàng Mai,20.990916,105.8526344
Đình Ông,20.9914735,105.8575784
Đền Lư Giang,20.9854962,105.8631998
Landmark72 Garden,21.0173559,105.7848098
The Matrix One Private Park,21.0091429,105.77467
ASEAN Square,21.0223428,105.8064749
Chùa Cả,21.0065962,105.7201216
Chùa Ngãi Cầu,20.9892128,105.7162928
Sân chơi khu đô thị Tân Tây Đô,21.0736925,105.7014787
Pond of Red River,21.0793167,105.835268
